TITLE: Bill of Materials
DATE: 04/14/2016
DESIGN: pc049a_db
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS
COAX-PLEMO00D,PX64,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX63,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX56,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX55,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX58,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX57,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX50,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX49,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX60,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX59,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX52,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX51,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX46,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX45,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX38,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX37,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX48,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX47,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX40,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX39,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX42,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX41,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX34,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX33,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX44,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX43,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX36,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX35,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX30,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX29,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX22,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX21,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX32,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX31,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX24,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX23,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX26,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX25,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX18,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX17,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX28,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX27,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX20,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX19,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX14,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX13,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX6,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX5,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX16,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX15,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX8,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX7,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX10,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX9,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX2,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX1,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX12,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX11,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX4,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX3,1,EPA.00.250.NTN,?,?,?,?
CON150P-QSS75_01FDA,J1,1,QSS-075-01-F-D-A,?,?,?,?
R4ISMD_1206-180,RZ16,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ15,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ14,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ13,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ12,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ11,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ10,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ9,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ8,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ7,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ6,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ5,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ4,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ3,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ2,1,307-0141,?,?,?,?
R4ISMD_1206-180,RZ1,1,307-0141,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D16,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D15,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D14,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D13,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D12,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D11,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D10,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D9,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D8,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D7,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D6,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D5,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D4,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D3,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D2,1,SP3010-04UTG,?,?,?,?
TVS_DIODE_ARRAY_SP3010_UDFN-SP3010-04UTG,D1,1,SP3010-04UTG,?,?,?,?
TOTAL, ,113, , , , , 
